EmpID,FirstName,LastName,StartDate,ExitDate,Title,Supervisor,ADEmail,BusinessUnit,EmployeeStatus,EmployeeType,PayZone,EmployeeClassificationType,TerminationType,TerminationDescription,DepartmentType,Division,DOB,State,JobFunctionDescription,GenderCode,LocationCode,RaceDesc,MaritalDesc,Performance Score,Current Employee Rating,PrivateKey,PublicKey
3437,Myriam,Givens,04-Aug-23,,Area Sales Manager,Troy White,myriam.givens@bilearner.com,SVG,Active,Contract,Zone B,Temporary,Unk,,Sales,Field Operations,26-01-1964,IN,Technician,Female,46204,Other,Single,Fully Meets,5,77ad545b77c3a93b23ea12b44bb6422332a8263bcceacdb85967f31ed6fc8ed7,be94bf02d5c69cfbb50f2ad3e57e9f816c568e247d65a9fc6c11bddab09d9f7bed5f5af6b53770e4900d71bbcc29cd8097fe55b721ff00b95fe6f0926387e903
3438,Dheepa,Nguyen,10-Aug-18,04-Nov-19,Area Sales Manager,Brian Miller,dheepa.nguyen@bilearner.com,MSC,Active,Full-Time,Zone C,Temporary,Retirement,Alone once than. More condition pay far.,Sales,General - Con,06-04-1948,GA,Technician,Female,30428,Asian,Married,Fully Meets,3,3268e387523a515bfd8b4b8ea0b606864c34d3440f097a0b5d0a1fde11fe9ad0,efece806d15ccf4ce6b7ae04f857a98fb3f2bd3b16b0999fea69b3098e3000b48331c609fab77f6fb8ff3bc710d0bbf1979f944935fc145ebafdb1c0bfd0c408
3439,Bartholemew,Khemmich,25-May-22,27-Nov-22,Area Sales Manager,Charles Parks,bartholemew.khemmich@bilearner.com,EW,Active,Full-Time,Zone A,Temporary,Involuntary,Foot in theory minute recognize test.,Sales,Splicing,24-11-1981,CO,Splicer,Male,80820,Other,Single,Fully Meets,3,7113fe1352eda7200b5205a381df6fe506c565e3301b918543246d92d8654b6a,53ff41aace437c67678c045eb396dd1a6e1c0a6352bfa25f10f324891b16b10110d7213b82cb6a70ab334cc3465ad8b30064777e2791ee7e1abdbc8b52337be6
3440,Xana,Potts,05-Dec-19,17-Feb-23,Area Sales Manager,Gregory Walker,xana.potts@bilearner.com,CCDR,Active,Contract,Zone A,Full-Time,Resignation,Degree wish science when thing week old.,Sales,Finance & Accounting,06-11-1951,KY,Controller,Female,40220,White,Divorced,Fully Meets,3,055dd70cfc147abea4f35cc6d0ebf6a909ddbf1d33c2727b85b84bc1539acec5,300894c9302eba0a5b6e17cc7a0d421bf83407969386b77f8a3b46bc009882113605600f54b29829a2e40dbeaef77dd86404f86241952ed6faf4971205f05576
3441,Prater,Jeremy,28-Apr-19,,Area Sales Manager,Tyler Lewis,prater.jeremy@bilearner.com,BPC,Active,Part-Time,Zone A,Part-Time,Unk,,Sales,General - Con,21-11-1989,NV,Lineman,Male,89139,Asian,Widowed,Exceeds,4,cb17a46f3bfa2e8fa72324c33dcd225ed7714eb1c0cf07a10bc06c22ba81c44f,ff932bd54b0c5e01804a3b372d230fc379b0cff300d3c25aa2685dac2e553da1ca6dd1385c62f894cf3e437b9d19f6c3f4aa2243078008c28ab0032715ca553c
3442,Kaylah,Moon,09-Jul-19,16-Jun-22,Area Sales Manager,Ashley Scott,kaylah.moon@bilearner.com,PYZ,Active,Full-Time,Zone A,Full-Time,Retirement,Fear particular method stage.,IT/IS,Field Operations,24-11-1952,MA,Laborer,Male,2810,Black,Single,Exceeds,2,846131737819474787139df563d514c4df4c9cf981f57d89d5d0a4d9924a6e9d,0dbc0e943c34e73084d66cf54f65045520287561a5ec7a3e2a3a44bc36e14f5ac8f1eff769ac02c60d25eec48a99cc7d03c044abe6ff4cd68c485e71232a5562
3443,Kristen,Tate,05-Apr-21,12-May-23,Area Sales Manager,Lauren Jones,kristen.tate@bilearner.com,WBL,Active,Full-Time,Zone C,Part-Time,Voluntary,Wall body wonder successful.,IT/IS,Project Management - Con,08-04-1994,KY,Coordinator,Male,2621,Asian,Widowed,Fully Meets,3,56436563a1ccbd11825bd8ff3aba0ebb71b1ee0a8b47915d5abec34b5ea839b8,ee08250402887f669a3d2a2ca042cfed6150edacfaaa66a1c4f319e34b97149974b0b87f9d38f99299f7d9ade01c6d353a448bf9dff2d9ec0e2a8ece2430788e
3444,Bobby,Rodgers,28-Nov-21,04-Feb-22,Area Sales Manager,Matthew Jackson,bobby.rodgers@bilearner.com,NEL,Active,Contract,Zone A,Part-Time,Voluntary,Visit foot nearly radio treatment.,Sales,Engineers,15-11-1983,KY,Director,Male,44553,Other,Widowed,Fully Meets,3,3276ad5ad51fee6e0c3ce42d3a093e4de094f65788420013b7b6e6311f76f3c1,a5492bfc06720b03bdb70645dd2e6576ee1a6ded2d1d14dfbfb0fd7cf9410f8e69beb1d4a1971f72ae5e992ec6ca3fd17fc9b948c6932df6e2b9cb5565eece9c
3445,Reid,Park,16-Jan-21,,Area Sales Manager,Michelle Mitchell,reid.park@bilearner.com,PL,Active,Contract,Zone C,Full-Time,Unk,,Sales,Project Management - Con,07-12-1985,KY,Supervisor,Female,5360,Other,Married,Exceeds,4,60e61b7800a121b5be3784d7d620130e008eb8e816194d8ae732c602f1bdf6e3,811ed458a2a38309acba01914d2d0af63283255700f7a176e624d8bdf2dc350375f6dab746ac08a37071fa21ed9fbc227a1a6f8547241176145a2fb125262932
3446,Hector,Dalton,24-Aug-21,,Area Sales Manager,Sydney French,hector.dalton@bilearner.com,BPC,Active,Part-Time,Zone A,Part-Time,Unk,,Sales,Field Operations,01-05-1996,TX,Driller,Female,16325,White,Divorced,Exceeds,2,90901b76dcbd71ae2deb4596fa583e06ad40a0e941fd5c953d9cba7a76ac77df,70c47a6ca3e81cd906546ba7c7b8f9efcad158aa0253bc1c822eb7dd9f3843d06117a8082c7719661d22932622344749096d1d58cf7b0d01ccadb5986f2b4c77
3447,Mariela,Schultz,26-May-20,18-Jun-23,Area Sales Manager,Michelle Evans MD,mariela.schultz@bilearner.com,CCDR,Future Start,Part-Time,Zone C,Part-Time,Involuntary,Unit pass office southern break one.,Sales,General - Con,17-02-1964,TX,Technician,Female,43481,Asian,Widowed,Fully Meets,3,eb0a3f23e2ac13bfe0073002a004a937a5624d5a21211a9266ce9c283cb238d4,6303bf34601241ce976a9a2c8f30ffaaf9284f2e11de42da4112d8760a88a662d2703a7e046ac9b44956e51e3325e8d8f3a4bfbe9f92f47efcedf5cf57b5c73a
3448,Angela,Molina,01-Oct-19,06-Nov-20,Area Sales Manager,Patricia Cook,angela.molina@bilearner.com,SVG,Future Start,Full-Time,Zone A,Temporary,Retirement,List class mind.,Sales,Engineers,12-05-1958,TX,Specialist,Male,50705,Asian,Widowed,Fully Meets,3,0d3e4e3a7f2087daf9d670864811ffbf2fd8a170ef2d189b3d7ca795a6951ce8,8ae2ced178981a48e0959e27bf43f1c9c9a83e927a34d961edae73366174995b4e850d1f3ee939b9f5c41eb8435635519d09e7a539035138ee46029f61ec8a91
3449,Gerald,Preston,10-May-23,27-May-23,Area Sales Manager,Ashley Reeves,gerald.preston@bilearner.com,EW,Future Start,Contract,Zone B,Temporary,Involuntary,Price third parent evening.,Sales,General - Eng,18-09-1992,CO,Technician,Male,5168,Black,Single,Fully Meets,5,e794c5ef0bd4969677570ecc82fbac3b1bab8662b0564ccbe793b19b275e0d0a,25705ffcbd571125936f36e8465503f8704183a83ca6e83e149cdf8a564dbbd7beca97a2c80ce9384fea6da8ca6336983ce61937d50d9a9ec1342c235136dc42
3450,Reilly,Moyer,01-Sep-20,04-Dec-22,Area Sales Manager,Stanley Harvey,reilly.moyer@bilearner.com,MSC,Active,Contract,Zone C,Temporary,Resignation,Cause military a sense. Doctor property may.,Sales,Field Operations,11-08-1994,CO,Operator,Male,11765,Other,Single,Exceeds,2,5f8a170bb01eeae11f78f87ad486da949df552a9383b819af11c03fdb32f6863,69a99059919c0e6c4e912a1b438bdfade61b3b919c0f0c02cd03d373a055fcf96e06cf37766826005a0d3fafec2294208981f72ea78438e736406b7d05ed3372
3451,Carlee,French,18-Feb-21,11-Nov-22,Area Sales Manager,Michael Bradshaw,carlee.french@bilearner.com,TNS,Active,Contract,Zone C,Full-Time,Voluntary,Station another son positive.,Sales,General - Con,15-01-1968,CO,Technician,Male,71071,Other,Divorced,Exceeds,3,21441f6638f41a2176ae65fc908e77251dd11a88bee2916a87de15b6c1e18239,81f497db3da69225f1ef1c2d686e9f9f8324a683ae35411f1f5019016f72c6c644c36765ec5577c0afb7329a3aed75131d0665a3b9f434d50060bff55539f30c
3452,Jaydon,Blackburn,08-Nov-22,,Area Sales Manager,Debbie Crosby,jaydon.blackburn@bilearner.com,PYZ,Active,Part-Time,Zone A,Part-Time,Unk,,Sales,General - Con,07-01-1947,IN,Foreman,Male,12122,Black,Divorced,Fully Meets,2,b28f5370c46e1f64c6088f4cb15dad389f12503ead73ac848c0764a05296336e,a687b7df0a9f6245596bb1536e3e9521beadfe8d2a690d862747bca9acb735e326b0e28024f7edd51807d701a9bc18cf50d2d023ef407ce6f7dcf6b81030bfbc
3453,Bridger,Carter,13-Oct-22,,Area Sales Manager,Elizabeth Taylor,bridger.carter@bilearner.com,WBL,Active,Contract,Zone C,Part-Time,Unk,,Sales,Fielders,07-04-1982,MA,Engineer,Male,87065,White,Widowed,Fully Meets,4,dc5f1e5d5ae7856af2c4cdf27bd8dd52d4b4d14d28b983cdadc5df82fa6c5ade,23611c3011c1f74df2cdecddd059c88fe53c3bcea87a94c73a437cfc1524412df607780fe55b0b5c327d43da242d973974ed94037e43ecc9846f43718031cd18
3454,Leon,Beard,11-Sep-22,,Area Sales Manager,Brian Dunlap,leon.beard@bilearner.com,PYZ,Active,Full-Time,Zone C,Full-Time,Unk,,IT/IS,General - Con,29-01-1970,KY,Foreman,Male,10415,Hispanic,Married,Needs Improvement,4,49ce2bc00c9bd1ec23ccc0d28624712b35ecdbd4deadb532fe058f1825bb12be,08e9c4f713ae126a8b4b07177a7b24bc5d7f51a068a2f6fa314988e9aa919a5b588ad8c1fc62e125380eb3a3fc4da6ec6f8664d0130ca9b5828a3a2b4d71d0b5
3455,Charity,Miranda,29-Jun-21,05-Jul-22,Area Sales Manager,Daniel Rodriguez,charity.miranda@bilearner.com,WBL,Active,Full-Time,Zone C,Temporary,Resignation,Pm local take example fund. Small heavy listen.,Sales,Project Management - Eng,18-01-1999,KY,Manager,Male,3763,Other,Widowed,Exceeds,4,ee5b8c31b6a9e6298ddb58ad344096d33324bcf8da7476baf3965b627b43470e,ba842bede25030047b382355659d561d618a67dafc0bc951df659ffafe02d81ce4b6748dc27723af7e424b2b293a984e82e056f2730724826bc2c2098cc64a00
3456,Axel,Howe,06-Mar-23,,Area Sales Manager,Martin Hammond,axel.howe@bilearner.com,NEL,Active,Full-Time,Zone A,Temporary,Unk,,Sales,Field Operations,25-09-1946,KY,Technician,Female,79623,Black,Divorced,Fully Meets,3,491b42bb68d99bb24b076ee6e9fd854386ccc86548a150935187dbab43df3c8d,461acb6b77b10951b52581f4a8ecf3d66ffd91d59a41914a30721a415ffb89f1ab1a5b2f77c79b7aa942fd5fc229d83450407c7b75f85fe0672b34bbd86e870b
3457,Milton,Wall,25-Sep-20,,Area Sales Manager,Sara Bell,milton.wall@bilearner.com,PL,Active,Full-Time,Zone B,Temporary,Unk,,Sales,Engineers,23-08-1947,KY,Technician,Female,69189,White,Divorced,Needs Improvement,3,a849d838263f5bcf4074822c9cef9a4f586a7bb36d677bc0f0ffd8c8e4a534e7,168b2409633545a7c422e2692cc048121f85da3aa28284aacc1e71da8a073dd59a1e0fb4ceacb5db9cf99a79ce687c2c73022f237d8f91afd6ad443cf252361c
3458,Cory,Robinson,28-Apr-22,24-May-23,Area Sales Manager,Elizabeth Anderson,cory.robinson@bilearner.com,BPC,Future Start,Contract,Zone A,Full-Time,Voluntary,Several young whether that expert.,Sales,Field Operations,12-08-1996,TX,Laborer,Female,5194,Hispanic,Single,Needs Improvement,3,320d282326553a8daba1d6e8124168db7c7d2d9d85cb15c89eca969599d75f50,51191acdf5f7ca26d7f606bf0e339cc772d5398c292641182af8661d4deaa3ce34156a56ea7b5492c3af6d08535a0ed6db6240909990963a08d453eef81728fd
3459,Saniya,Yu,18-Apr-21,21-Jun-22,Area Sales Manager,Erin Bailey,saniya.yu@bilearner.com,CCDR,Future Start,Part-Time,Zone A,Full-Time,Retirement,Science end approach democratic treatment.,Sales,General - Con,09-02-1944,TX,Splicer,Male,8779,Black,Widowed,Exceeds,2,61df2837d6e0231c86213890224eaf685028de2eb69f2ec3deee7d7dae03d6ca,67366eba0af29db0406128345fcc83e87fcf1765fef73276860fc13fc691e9e9d1106eb37a85203cc0230986110c3e1f16d97d83c7268ff99bc3f0f2f6633361
3460,Alisa,James,19-Feb-20,,Area Sales Manager,Dennis Henderson,alisa.james@bilearner.com,SVG,Active,Full-Time,Zone A,Full-Time,Unk,,Sales,Aerial,10-02-1944,TX,Lineman,Male,74682,Asian,Married,Fully Meets,3,c193bb8698db6487167802b822976e85be137282d105eea66382925b7adcabbc,a5d3a3015cb155bc211b7b9d652f728f087cf7446572ff68140c4546eef2b6b7a05a7e040f946c60fb19039283c9ef1c87856a3d087a6dd8ef6f03e0446088fc
3461,Lincoln,Compton,18-Jul-19,01-Oct-21,Area Sales Manager,Tammy Conner,lincoln.compton@bilearner.com,EW,Future Start,Full-Time,Zone C,Part-Time,Resignation,Base scene central unit per argue. Might last of.,Sales,General - Con,29-12-1997,CO,Foreman,Male,78046,Hispanic,Married,Needs Improvement,1,a1905a6c44364fb76552ad4f8648b24607bd8e8712a834a4b72a2cf4164ca76b,c34a086e0a6f71aebc861804d0d034eea50938bba373ebbb3e26a11b83c1d13e6588d8549200da3a5003729b9636577960e6cfb990b5dc8e51f3412eff9b590b
3462,Aliana,Nolan,13-Sep-18,17-Sep-21,Area Sales Manager,Brianna Mathews,aliana.nolan@bilearner.com,MSC,Active,Contract,Zone A,Full-Time,Involuntary,Yourself book budget product.,Sales,Field Operations,09-08-1942,CO,Coordinator,Male,27270,Hispanic,Divorced,Needs Improvement,3,d7e395083005dd63786375a3258cf2577296f11e20aa703a5164abce39b7f3a7,84b9ab9ba80555a0d68a3609bb3d0848c47ed1ed934c5e46c7e6ebc8356497d6c685586f2df8d4c3d1440f041d224134f72a52016b37e263f3743f7553eaa459
3463,Kayden,Dodson,30-Apr-20,18-Jul-21,Area Sales Manager,Jessica Peters,kayden.dodson@bilearner.com,TNS,Active,Part-Time,Zone A,Temporary,Retirement,Paper can score else investment.,Sales,Field Operations,21-06-1951,IN,Tower Hand,Male,12703,Hispanic,Single,Fully Meets,1,eb9c307d4ba8ac9898e13bfea497c71b0fdcb4a92701ce607767da348faf7d15,597841b786c2523b5c1df9d5c954d1c5f772104c73559ff057fc0c1430ed8908b2fa02cedfbb5f9146c8e475a0c7b639c33c6b74b01a99b829504d981a8be7a8
3464,James,Duke,03-Dec-18,09-Sep-22,Area Sales Manager,Mark Harris,james.duke@bilearner.com,PYZ,Active,Contract,Zone B,Full-Time,Involuntary,Stuff different color how.,Sales,Shop (Fleet),17-06-1998,MA,Mechanic,Male,66835,Black,Widowed,Needs Improvement,5,07d3a708a59371c16cb103b6e49d4bb0e955c7f46ea3d8ad2bea94abe60185a5,1a8ae833f228bc594a86de803ad07f819312e49a00294f66439fd78852d23386f5b1f5909798c1034cfea9d826cb32c068f661af445628e1491dd324056833dd
3465,Willow,Stuart,08-Nov-21,,Area Sales Manager,Elizabeth Tapia,willow.stuart@bilearner.com,WBL,Active,Full-Time,Zone B,Full-Time,Unk,,Sales,General - Con,07-01-1962,MA,Flagger,Male,66150,Asian,Divorced,Needs Improvement,3,ad401d1191beaae5d1d71a1d81e2835e68f0bf1e66f54f84126dd942e8d565cd,c46beed044e68f736b5924494fdec3c1cae2be222904e9cf74e397104d4f11c529a9327eb22b7bccf723d3114acc372442e53d68d76b75314484b074cc0cec56
3466,Clayton,Walker,13-Apr-22,10-Apr-23,Area Sales Manager,Jon Holden,clayton.walker@bilearner.com,PYZ,Active,Part-Time,Zone C,Full-Time,Retirement,Sign figure employee card education.,IT/IS,Aerial,26-01-1979,KY,Supervisor,Male,64288,Other,Married,Exceeds,4,33cff5f0474d1a9a5e3b13d2789cb902d55ca14cc49216ddf749c61507dd0d01,164f5b84fbf77c8937f04bf2b5f5f482b5e2d7a395e4a16b8500f65a5008fc49c71b4ed4adec01670e5c3fb5b1b5ce581f9f44143527856b60fc3f9ec7a6c162
3467,Celia,Curtis,06-May-20,,Area Sales Manager,Michael Odonnell,celia.curtis@bilearner.com,WBL,Active,Contract,Zone A,Part-Time,Unk,,Sales,Fielders,14-05-1987,KY,Engineer,Female,94333,Asian,Divorced,Exceeds,1,e46ec285ddd7811d38a7ee3693033f6b166ce032c8050cf5c01c97c2b52455d6,0ae46b52f802be4f2ff08c99e8f062f4a3cd9404e010a992734e386bdf1e617a724239efe659068fa5ac0c15271212463d4d19a958ab08afe5aa7a8d66bceaf2
3468,Valentin,Reilly,09-Sep-19,,Area Sales Manager,Andres Parker,valentin.reilly@bilearner.com,NEL,Active,Contract,Zone B,Temporary,Unk,,Sales,Wireline Construction,26-04-1998,KY,Foreman,Female,45453,Black,Single,Fully Meets,4,ee04ab6495cf2d441acbe7c51933bd6462288b0e7a2cb27e023ba50fd6254cce,9b957a6a947fde0bd7a3c3f5beced54da011eb95ad4d5fb21631dec657b1ff77d74d543b25134dd5d9dbf1fdb1043848116683ddb73916a910f1cbcf43687c2a
3469,Ryland,Shepherd,29-Jul-20,05-Jan-23,Area Sales Manager,James Berry,ryland.shepherd@bilearner.com,PL,Future Start,Contract,Zone B,Full-Time,Resignation,Right cut matter arrive difference.,Sales,Field Operations,21-02-1945,TX,Driver,Female,81905,Asian,Divorced,Needs Improvement,3,fcb2558cee45970015a9c982da59b8c85957ff78708e700131e244ca2f7e30ce,d81bf07f7440629dd503372269bd2f305928bcf0e0d9c3d5e8cf28408be8830d002ea96eb2648e062875d5b7aca1c0334dcd515e348134c83b9aea8c06b957fe
3470,Esteban,Gilbert,14-Nov-18,28-Oct-19,Area Sales Manager,Gail Ali,esteban.gilbert@bilearner.com,BPC,Future Start,Contract,Zone C,Part-Time,Retirement,Speak professor statement result.,Sales,Field Operations,31-05-1997,TX,Technician,Female,12491,Black,Married,Needs Improvement,3,ea6212be8d7eedf9a1ff53bcf676f23d86cb03cee42cf71fe02ac6ce63af046e,eea71035b61d66eb49960ac4ec4585034a2743960b36e41b95ab467aa23dca9a87bcb7665573a77019af9328e4185a02e37444131408372472199ed9fea42701
3471,Jonathan,Adkins,29-Feb-20,,Area Sales Manager,John Marshall,jonathan.adkins@bilearner.com,CCDR,Active,Part-Time,Zone C,Temporary,Unk,,Sales,Field Operations,03-01-1967,TX,Foreman,Male,64350,Asian,Married,Fully Meets,4,d0a90717927b25ff0588af544bf1cb25c884257a905a0f471714449648e8188e,8b62a8fe417da46a1d5a72b33a691820726e708df71068cc56e13ef6b48ef2a73a186108d2092c8c1dd8e87c1289f6b3c6575c5831c44aa9c8686cac7719a8e7
3472,Nevaeh,Soto,15-Jan-23,,Area Sales Manager,Jessica Chang,nevaeh.soto@bilearner.com,SVG,Active,Contract,Zone C,Full-Time,Unk,,Sales,Project Management - Con,12-01-1982,TX,Director,Male,74124,Other,Married,Exceeds,4,9f0051ff9f76df39111808ad58c2772df897ef100d1b70be16902cbb30cac42a,6345d79e4bd81456b63eeb1a55d0c5d62e98ed8bbc2090c2e2f8b4b1053f6871bec52858450e4643a433003ea77cffc7ff4777a3c23a82b87183db58315c3576
3473,Chaim,Mata,29-Jun-23,,Area Sales Manager,Desiree Vang,chaim.mata@bilearner.com,EW,Active,Part-Time,Zone A,Temporary,Unk,,Sales,Shop (Fleet),01-10-1950,CO,Manager,Male,33379,Hispanic,Widowed,Exceeds,2,80cdb373613412c9b201709b35e8d9ff7524860c9758fa8465865a3afb0fa0f8,c505f81ce156bd7f8c0db5adc798dd8e49664178246f8eaaa017ab7156a51fdd8926b6f214e1e24fd79fa07b8380eac11d1ea8cfc00f9a316cd5227e35e37b8a
3474,Arely,Patton,09-Mar-20,,Area Sales Manager,Andrew Goodman,arely.patton@bilearner.com,MSC,Active,Full-Time,Zone A,Temporary,Unk,,Sales,Catv,16-12-1965,CO,Laborer,Male,34481,Other,Divorced,Fully Meets,2,26d184bd604d828ca091c764f378e99945bbe79284fa18c79dda08e312a4ed2e,4b29e42bc73f6e8e194df7743707f42045bcb80d1442d91346ec4721c033f59c97993e27e3923f5e638db9fa6d38fa914c4b99e9f53f62221a85d97776adc6ba
3475,Vance,Trujillo,21-Sep-21,13-Apr-23,Area Sales Manager,Rebecca Simpson,vance.trujillo@bilearner.com,TNS,Active,Full-Time,Zone C,Temporary,Resignation,Expert challenge education air none money wide.,Sales,General - Con,25-12-1957,IN,Foreman,Male,90406,Asian,Widowed,Fully Meets,2,3df871fad0206ac10302e88cac5b003f23a55f9a8b392aa9dbc5002d61671dfa,718662fa7685ca36a505ca400e878b18c1c2c6712ff8a9b5237e1c5a74e4c0f7f7a1082321be7cbb9332a8d2f2f09967e7ae9038d730b309909843f34d682fe3
3476,Charlie,Koch,12-Jun-23,06-Jul-23,Area Sales Manager,Samantha Cardenas,charlie.koch@bilearner.com,PYZ,Active,Part-Time,Zone A,Temporary,Voluntary,Buy become improve guess business know.,Sales,Fielders,20-06-1945,MA,Engineer,Male,95774,Asian,Divorced,Needs Improvement,2,4aa90727b3a7c4b020c973b06f0d2ab9c60e0a5719214eb6bd8299cf226f3130,be780c584d008a08d58454d452391ba5e1bbe1354ed694a895f5ac3c788df84d5147002c20668dc7068424c8e106e41ea86763304a1455919539ecd0b87254dc
3477,Sonny,Horne,07-Apr-19,,Area Sales Manager,Nancy Johnson,sonny.horne@bilearner.com,PYZ,Active,Part-Time,Zone A,Full-Time,Unk,,IT/IS,Aerial,03-12-1969,KY,Laborer,Female,16058,Asian,Widowed,Needs Improvement,2,97469029f8041180c8171a326614ba7ccef3430e316f78511e30b85f9ae47a6a,2613c4802c454b3b7f76dc8d9acf7df88480b835dad45041c48cbcf04fe5c79c85a4c5c64e5a1a29d0d60a139cefacb940012aaba7fbb2c102ea71d4d023f616
